Team,No,Pts,Reb,Ast,Stl,Blk,To,Pf,Dreb,Oreb,Eff,Deff
Seattle,14,92.1,40.8,21.6,8.3,3.6,12.5,20.9,29.1,11.7,103.2,0.8
Milwaukee,15,99.4,39.3,22.1,7.6,4.2,12.2,22.5,28.7,10.5,110.9,-1.6
Phoenix,16,94.8,42.6,20.6,8.2,5,14.3,22.5,29.8,12.8,104.5,-1.7
Washington,17,91.5,40.4,19.7,7.6,4.8,12.6,20,29.2,11.2,102,-2.6
Golden State,18,102.4,46.7,20.9,7.2,6.2,15.2,21.8,31,15.7,114.5,-3.7
Atlanta,19,94.1,42.6,20.5,7.5,5.7,15.9,21.7,31.2,11.4,105.8,-4.2
New York,20,95.9,39.2,22,7.1,3.1,13.6,23,29,10.3,104.1,-5.8
Orlando,21,97.7,40.6,20.1,8.2,3.7,13.9,23.6,29.1,11.5,104.5,-6.5
Boston,22,92.9,40.5,19.4,8.8,3.8,13.5,21.9,30.3,10.2,99.3,-6.9
Memphis,23,97.5,41.6,23.1,7.9,6.1,14.8,20.5,30.1,11.5,110.2,-7.9
Miami,24,85.6,41.6,18.3,7.2,4,13.4,22.6,30,11.6,91.7,-9.4
L.A.Clippers,25,93.8,42.3,19.6,7,5.6,15.2,21.8,30,12.3,101.9,-9.8
Chicago,26,95,43,21.7,7.4,5.6,16.2,24.7,31,12,104.2,-10.9
Toronto,27,90.9,41.2,19.3,7.4,4.8,13.5,21.5,28.7,12.5,97.1,-14.4
Denver,28,84.2,42.4,21.2,8.7,5.2,17.4,25.1,28.8,13.6,90.4,-14.9
Cleveland,29,91.4,44.6,20.9,7.8,6.3,17.4,22.7,31,13.6,99.9,-17.8
San Antonio,1,91.2,44.8,20.3,8,6.1,14.2,20.6,32.2,12.5,104.5,15.4
Minnesota,2,94.1,42.8,22.4,6.8,5.5,12.6,21.7,32.3,10.5,111,14.2
Indiana,4,90.4,41.7,20.9,8.8,5.2,13.4,21.3,30.1,11.6,104.1,9.5
Sacramento,5,101.9,41.6,25.8,8.8,3.9,13.5,19.6,30.7,10.8,118.7,9
Dallas,6,104.9,45.6,23.7,8.1,5.3,11.8,19.7,31,14.7,122.9,8.7
New Jersey,7,90,40.9,24,8.7,4.1,14.5,21.6,30.4,10.5,104.1,8.3
L.A.Lakers,8,96.1,42.5,23.5,8.1,4.5,13.1,21.5,30.7,11.8,108.5,7.5
Memphis,9,96.1,41.5,22.9,9.7,6.8,14.4,23.3,28.8,12.6,110.7,5
Houston,10,89.5,42.7,19.1,6.7,5.3,15.8,21.6,32.4,10.3,100.4,3.8
Utah,11,88.7,41.2,20.4,7.1,6,15.3,25.5,27.7,13.5,98.7,1.5
Denver,12,96.8,42.4,21.8,9,6.1,14.6,22.1,29.1,13.3,109.3,0.5
Cleveland,13,92.9,45.6,21.9,7.2,6.6,14.2,21.2,32,13.6,107.1,-0.1
Miami,14,89.4,41.5,18.7,7.2,3.8,13.2,22.4,30.1,11.5,96.9,-0.5
New York,15,91.6,42.4,20.6,7.5,4.5,15.3,23.4,30.8,11.6,102.4,-1.5
Milwaukee,16,97.3,42,22.7,6.8,4.5,13.2,20.4,30.4,11.7,109.4,-1.6
Seattle,17,97.1,39.3,21.7,8.1,4.7,13.8,21.7,28.3,11.1,107.6,-2.1
New Orleans,18,90.9,42.8,20.8,8.4,4.2,14.2,20.9,29.5,13.2,100.4,-2.5
Portland,19,90.7,41.7,21.6,7.5,5.2,13.8,18.9,29,12.7,103.6,-2.9
Golden State,20,93.3,43.1,20.5,7,4.7,14.1,20.6,30.9,12.2,103.4,-3.9
Toronto,21,85.4,39.6,19.2,7.4,4.9,13.3,21.3,29.5,10.1,93.1,-5.5
Philadelphia,22,88,40.8,20,8,4.4,14.7,20.7,29.4,11.5,96.8,-5.5
Boston,23,94.8,40.2,20.4,9.3,4,15.9,22.3,29.8,10.3,102.9,-6
Phoenix,24,94.2,40.6,19.3,8.9,4.6,14.7,22.7,29.3,11.3,101.9,-8.4
Atlanta,25,92.8,42.7,20.1,7.7,4.9,15.6,22.3,30.6,12.2,102.1,-9.1
L.A.Clippers,26,94.8,43.5,20.2,7.2,4.5,15.6,22.1,29.5,14,102.6,-11
Chicago,27,89.7,43.5,21.9,8,4.8,15.2,23.3,30.7,12.8,98.3,-12.7
Washington,28,91.8,42.8,18.7,8.9,5,16.7,20.9,29.2,13.6,96.5,-17.9
Orlando,29,94,40.9,19.3,6.7,3.8,13,21.3,28.7,12.2,98.2,-21.2
Miami,2,101,42.8,21.4,6.3,5.8,13.5,22.5,32.4,10.4,114.4,14.6
Phoenix,3,110.7,44,23,6.8,5.6,13.3,19.2,32.1,11.8,126.1,12.4
Detroit,4,92.6,43.2,21.5,7.1,6.1,12.7,20.2,30.4,12.7,107.4,11.7
Dallas,5,102.9,43,19.3,8.4,5.5,12.8,22.3,30.6,12.4,115.9,8.4
Minnesota,6,96.8,43,23.4,5.6,5.5,12.6,21.6,31.5,11.5,113.4,7.7
Houston,7,95.3,42,20.9,6.9,4.7,13.1,22.2,31.3,10.7,108,7.7
Denver,8,99,41.8,23.4,9,6,14.3,23.1,30.1,11.7,114.4,7
Cleveland,9,96.5,42.3,22.6,8,5.6,13.1,22.6,28.7,13.6,110.3,5.4
Sacramento,10,103.6,42,24.2,8.1,3.9,12.6,20.9,29.5,12.5,118,4.5
L.A.Clippers,11,95.7,41.9,23.2,7.3,5.2,14.8,22.2,29.9,12,110.3,4.2
Memphis,12,93.9,39,20.9,8.4,5.7,13.8,23.3,28.1,10.9,105.6,2.7
Seattle,13,98.9,40.8,17.9,6.7,4.2,12.7,24,28.1,12.7,106.4,1.7
